Entrez_Id_1	Entrez_Id_2	Symbol_1	Symbol_2	Binary	BinarySingle	CoComplex	Prediction
10254	26994	STAM2	RNF11	1	0	0	0
51270	653583	TFDP3	PHLDB3	0	0	1	0
132141	2052	IQCF1	EPHX1	0	0	1	0
5878	6093	RAB5C	ROCK1	0	0	0	1
8294	23476	HIST1H4I	BRD4	1	0	0	0
9371	64147	KIF3B	KIF9	0	0	0	1
7431	10625	VIM	IVNS1ABP	1	0	0	0
9265	27128	CYTH3	CYTH4	0	0	0	1
5900	326624	RALGDS	RAB37	0	0	0	1
29948	27330	OSGIN1	RPS6KA6	0	0	1	0
6188	26354	RPS3	GNL3	0	0	1	0
2146	5252	EZH2	PHF1	1	0	0	0
9129	27257	PRPF3	LSM1	0	0	1	0
6734	9853	SRPR	RUSC2	1	0	0	0
1487	283248	CTBP1	RCOR2	0	0	1	0
3059	10580	HCLS1	SORBS1	0	0	0	1
53904	81488	MYO3A	POLR2M	1	0	0	0
5987	56891	TRIM27	LGALS14	1	0	0	0
2593	10667	GAMT	FARS2	0	0	1	0
3766	283578	KCNJ10	TMED8	0	0	1	0
84445	170954	LZTS2	PPP1R18	1	0	0	0
29896	51649	TRA2A	MRPS23	0	0	1	0
6141	10514	RPL18	MYBBP1A	0	0	1	0
4839	6193	NOP2	RPS5	0	0	1	0
9217	6867	VAPB	TACC1	0	0	1	0
6924	57594	TCEB3	HOMEZ	1	0	0	0
1855	5684	DVL1	PSMA3	1	0	0	0
3024	63977	HIST1H1A	PRDM15	0	0	1	0
55064	2802	SPATA6L	GOLGA3	0	0	1	0
1716	273	DGUOK	AMPH	0	0	1	0
3195	159296	TLX1	NKX2-3	0	0	0	1
5300	7185	PIN1	TRAF1	1	0	0	0
595	5000	CCND1	ORC4	1	0	0	0
81930	285643	KIF18A	KIF4B	0	0	0	1
1677	4082	DFFB	MARCKS	0	0	1	0
4240	3693	MFGE8	ITGB5	0	0	1	0
57731	83660	SPTBN4	TLN2	0	0	0	1
56970	389856	ATXN7L3	USP27X	0	0	1	0
1452	11052	CSNK1A1	CPSF6	0	0	1	0
367	2308	AR	FOXO1	1	0	0	0
6357	6846	CCL13	XCL2	0	0	0	1
9437	57823	NCR1	SLAMF7	0	0	0	1
8202	64210	NCOA3	MMS19	1	0	0	0
25898	54507	RCHY1	ADAMTSL4	1	0	0	0
64757	84084	MARC1	RAB6C	0	0	1	0
5093	4233	PCBP1	MET	0	0	1	0
10875	10007	FGL2	GNPDA1	0	0	1	0
1891	56922	ECH1	MCCC1	0	0	1	0
5549	80746	PRELP	TSEN2	0	0	1	0
116228	54939	COX20	COMMD4	0	0	1	0
5272	10980	SERPINB9	COPS6	1	0	0	0
7072	8662	TIA1	EIF3B	0	0	0	1
286075	64969	ZNF707	MRPS5	0	0	1	0
8834	89885	TMEM11	FATE1	1	0	0	0
90060	284001	CCDC120	CCDC57	1	0	0	0
390	3265	RND3	HRAS	0	0	0	1
22806	84619	IKZF3	ZGPAT	1	0	0	0
55147	23513	RBM23	SCRIB	0	0	1	0
26240	116541	FAM50B	MRPL54	0	0	1	0
4110	10495	MAGEA11	ENOX2	1	0	0	0
57410	144108	SCYL1	SPTY2D1	0	0	1	0
3268	116985	AGFG2	ARAP1	0	0	0	1
11128	171568	POLR3A	POLR3H	0	0	1	0
4010	7080	LMX1B	NKX2-1	0	0	0	1
6628	23658	SNRPB	LSM5	0	0	0	1
4999	23595	ORC2	ORC3	1	0	1	0
4850	7324	CNOT4	UBE2E1	1	0	0	0
11228	5108	RASSF8	PCM1	0	0	1	0
5745	10723	PTH1R	SLC12A7	0	0	1	0
25	2321	ABL1	FLT1	0	0	0	1
