,EntrezId,Genes,StartiPyDiff_1,StartiPyDiff_2,StartiPyDiff_3,StratiPyDiff_Comp,StratiPyDiff_W,StartiPy_1,StartiPy_2,StartiPy_3,StratiPy_Comp,StratiPy_W,NNF_1,NNF_2,NNF_3,NNF_Comp,NNF_W,NNFDiff_1,NNFDiff_2,NNFDiff_3,NNFDiff_Comp,NNFDiff_W
0,29974,A1CF,0.00364161049066,0.0027282303733,0.0036334332791,0,0.010003274143,3.25647431675e-05,0.00316559656958,0.00693621733558,2,0.0101343786483,0.284314518998,1.35442889822,0.534865965005,1,2.17360938222,0.284314518998,1.35442889822,0.534865965005,1,2.17360938222
1,2,A2M,0.00241883016579,0.00425776351855,0.00279670899755,1,0.00947330268188,0.00355481141755,0.00320344915799,2.9714220109e-05,0,0.00678797479565,0.415400626171,0.181114786491,0.19276375773,0,0.789279170392,0.415400626171,0.181114786491,0.19276375773,0,0.789279170392
2,8086,AAAS,0.00312968451463,0.00207343174283,0.0022430432242,0,0.00744615948166,3.66959264596e-05,0.00385800916088,5.05868278905e-05,1,0.00394529191523,1.03148246032,0.139350018739,0.168809409075,0,1.33964188813,1.03148246032,0.139350018739,0.168809409075,0,1.33964188813
3,65985,AACS,0.00147151219458,0.00452798491261,0.00213178084137,1,0.00813127794855,5.30101066606e-05,0.00317487453204,0.00689954210156,2,0.0101274267403,1.42999125869,0.111472886859,1.09856590285,0,2.64003004839,1.42999125869,0.111472886859,1.09856590285,0,2.64003004839
4,13,AADAC,0.00251857521776,0.00246714523066,0.00336136592834,2,0.00834708637676,3.13888479977e-05,0.00344302008644,3.19324849905e-05,1,0.00350634141943,0.0616380521722,1.01144815978,1.72086670645,2,2.7939529184,0.0616380521722,1.01144815978,1.72086670645,2,2.7939529184
5,22848,AAK1,0.000156965302755,6.01976409413e-05,0.000632458891452,2,0.000849621835148,0.0035667602848,0.000112231308419,5.11631099913e-05,0,0.00373015470321,1.43273548993,0.693576302524,0.994917495813,0,3.12122928827,1.43273548993,0.693576302524,0.994917495813,0,3.12122928827
6,16,AARS,0.00327886691858,0.00189170847918,0.0016540058888,0,0.00682458128656,0.00379320700733,9.78664291891e-05,0.000205224332939,0,0.00409629776946,0.0875314709217,0.27876335493,0.00716401188106,1,0.373458837733,0.0875314709217,0.27876335493,0.00716401188106,1,0.373458837733
7,132949,AASDH,0.00206261838465,0.00436401577133,0.00249269200233,1,0.00891932615831,0.00714870696955,0.00319634792722,0.00336550160104,0,0.0137105564978,0.938746875682,2.05469976983,0.218109728878,1,3.21155637439,0.938746875682,2.05469976983,0.218109728878,1,3.21155637439
8,60496,AASDHPPT,0.00285535870612,0.00295514685934,0.00224130791452,1,0.00805181347998,4.87820230861e-05,0.00312903959076,3.61371641675e-05,1,0.00321395877801,0.607111671916,0.570908507137,0.529324752621,0,1.70734493167,0.607111671916,0.570908507137,0.529324752621,0,1.70734493167
9,10157,AASS,0.0029458185833,0.00316887142396,0.00235770468612,1,0.00847239469337,0.00713250924577,3.87278754388e-05,0.00331289572525,0,0.0104841328465,1.04817040683,0.306236778459,1.2477115193,2,2.60211870459,1.04817040683,0.306236778459,1.2477115193,2,2.60211870459
10,19,ABCA1,0.0033280665875,0.00234455853516,0.00513193947792,2,0.0108045646006,0.00714288667931,0.00639339461244,0.000131855981593,0,0.0136681372733,0.860262451958,0.315686367292,0.422274902214,0,1.59822372146,0.860262451958,0.315686367292,0.422274902214,0,1.59822372146
11,26154,ABCA12,0.00525310552922,0.00828736977234,0.00511981541653,1,0.0186602907181,0.0142621987772,0.00673248553195,0.00666905860096,0,0.0276637429101,0.328301295001,0.889706985846,0.810286792125,1,2.02829507297,0.328301295001,0.889706985846,0.810286792125,1,2.02829507297
12,21,ABCA3,0.00358199073231,0.00233290472866,0.00342327772161,0,0.00933817318259,0.00716357794383,0.00316779139265,0.010213890201,2,0.0205452595374,0.401297805134,2.32314397786,1.57230971159,1,4.29675149458,0.401297805134,2.32314397786,1.57230971159,1,4.29675149458
13,24,ABCA4,0.00335043250393,0.00551195482111,0.00579339733457,2,0.0146557846596,0.00356147099269,0.0126410857248,0.0166456275016,2,0.032848184219,0.316655295052,0.479762361941,0.787231312353,2,1.58364896935,0.316655295052,0.479762361941,0.787231312353,2,1.58364896935
14,10347,ABCA7,0.000639343976845,0.0017281081677,0.00298367129295,2,0.0053511234375,0.00354160035052,0.000298843443942,0.000320574444426,0,0.00416101823889,0.596906481248,0.0417126466948,1.72331703167,2,2.36193615962,0.596906481248,0.0417126466948,1.72331703167,2,2.36193615962
15,5243,ABCB1,0.00955563552925,0.00516570290305,0.0081248131821,0,0.0228461516144,0.00352685138059,0.00988355880292,0.00339277522419,1,0.0168031854077,0.987286693458,0.0786912832421,0.580704685475,0,1.64668266217,0.987286693458,0.0786912832421,0.580704685475,0,1.64668266217
16,23456,ABCB10,0.000303812566874,0.000980163352189,0.000663918111651,1,0.00194789403071,0.000293962232061,8.0985038398e-05,0.00667548275682,2,0.00705043002728,0.401234709911,0.831097441328,0.1063605853,1,1.33869273654,0.401234709911,0.831097441328,0.1063605853,1,1.33869273654
17,8647,ABCB11,0.00272232075318,0.00248246914242,0.00521745107207,2,0.0104222409677,0.00371490841831,0.000435467581629,0.00326459860351,0,0.00741497460344,0.800082476085,1.66437169502,0.533895794118,1,2.99834996523,0.800082476085,1.66437169502,0.533895794118,1,2.99834996523
